"Era";"Number of animals";"Number of plants";"Average energy";"Average lifespan";"Average amount of babies"
"0";"20";"4";"100.0";"0.0";"0.0"
"1";"21";"6";"92.0";"0.0";"0.09523809523809523"
"2";"22";"8";"85.0";"0.0";"0.18181818181818182"
"3";"22";"10";"82.0";"0.0";"0.18181818181818182"
"4";"22";"12";"79.0";"0.0";"0.18181818181818182"
"5";"22";"14";"76.0";"0.0";"0.18181818181818182"
"6";"23";"16";"70.0";"0.0";"0.2608695652173913"
"SaveEra";"Average of number of animals";"Average of number of plants";"Average of average energy";"Average of average lifespan";"Average of average amount of babies"
"7";"21.0";"10.0";"83.42857142857143";"0.0";"0.1547686268183163"
